date_id,full_date,year,month,quarter,day_of_week,is_weekend,is_month_end,week_number
20231021,10/21/2023,2023,October,Q4,Saturday,TRUE,FALSE,
20231022,10/22/2023,2023,October,Q4,Sunday,TRUE,FALSE,
20231023,10/23/2023,2023,October,Q4,Monday,FALSE,FALSE,
20231024,10/24/2023,2023,October,Q4,Tuesday,FALSE,FALSE,
20231025,10/25/2023,2023,October,Q4,Wednesday,FALSE,FALSE,
20231026,10/26/2023,2023,October,Q4,Thursday,FALSE,FALSE,
20231027,10/27/2023,2023,October,Q4,Friday,FALSE,FALSE,
20231028,10/28/2023,2023,October,Q4,Saturday,TRUE,FALSE,
20231029,10/29/2023,2023,October,Q4,Sunday,TRUE,FALSE,
20231030,10/30/2023,2023,October,Q4,Monday,FALSE,FALSE,
20231031,10/31/2023,2023,October,Q4,Tuesday,FALSE,TRUE,
20231101,11/01/2023,2023,November,Q4,Wednesday,FALSE,FALSE,
20231102,11/02/2023,2023,November,Q4,Thursday,FALSE,FALSE,
20231103,11/03/2023,2023,November,Q4,Friday,FALSE,FALSE,
20231104,11/04/2023,2023,November,Q4,Saturday,TRUE,FALSE,
20231105,11/05/2023,2023,November,Q4,Sunday,TRUE,FALSE,
20231106,11/06/2023,2023,November,Q4,Monday,FALSE,FALSE,
20231107,11/07/2023,2023,November,Q4,Tuesday,FALSE,FALSE,
20231108,11/08/2023,2023,November,Q4,Wednesday,FALSE,FALSE,
20231109,11/09/2023,2023,November,Q4,Thursday,FALSE,FALSE,
20231110,11/10/2023,2023,November,Q4,Friday,FALSE,FALSE,
20231111,11/11/2023,2023,November,Q4,Saturday,TRUE,FALSE,
20231112,11/12/2023,2023,November,Q4,Sunday,TRUE,FALSE,
20231113,11/13/2023,2023,November,Q4,Monday,FALSE,FALSE,
20231114,11/14/2023,2023,November,Q4,Tuesday,FALSE,FALSE,
20231115,11/15/2023,2023,November,Q4,Wednesday,FALSE,FALSE,
20231116,11/16/2023,2023,November,Q4,Thursday,FALSE,FALSE,
20231117,11/17/2023,2023,November,Q4,Friday,FALSE,FALSE,
20231118,11/18/2023,2023,November,Q4,Saturday,TRUE,FALSE,
20231119,11/19/2023,2023,November,Q4,Sunday,TRUE,FALSE,
20231120,11/20/2023,2023,November,Q4,Monday,FALSE,FALSE,
20231121,11/21/2023,2023,November,Q4,Tuesday,FALSE,FALSE,
20231122,11/22/2023,2023,November,Q4,Wednesday,FALSE,FALSE,
20231123,11/23/2023,2023,November,Q4,Thursday,FALSE,FALSE,
20231124,11/24/2023,2023,November,Q4,Friday,FALSE,FALSE,
20231125,11/25/2023,2023,November,Q4,Saturday,TRUE,FALSE,
20231126,11/26/2023,2023,November,Q4,Sunday,TRUE,FALSE,
20231127,11/27/2023,2023,November,Q4,Monday,FALSE,FALSE,
20231128,11/28/2023,2023,November,Q4,Tuesday,FALSE,FALSE,
20231129,11/29/2023,2023,November,Q4,Wednesday,FALSE,FALSE,
20231130,11/30/2023,2023,November,Q4,Thursday,FALSE,TRUE,
20231201,12/01/2023,2023,December,Q4,Friday,FALSE,FALSE,
20231202,12/02/2023,2023,December,Q4,Saturday,TRUE,FALSE,
20231203,12/03/2023,2023,December,Q4,Sunday,TRUE,FALSE,
20231204,12/04/2023,2023,December,Q4,Monday,FALSE,FALSE,
20231205,12/05/2023,2023,December,Q4,Tuesday,FALSE,FALSE,
20231206,12/06/2023,2023,December,Q4,Wednesday,FALSE,FALSE,
20231207,12/07/2023,2023,December,Q4,Thursday,FALSE,FALSE,
20231208,12/08/2023,2023,December,Q4,Friday,FALSE,FALSE,
20231209,12/09/2023,2023,December,Q4,Saturday,TRUE,FALSE,
20231210,12/10/2023,2023,December,Q4,Sunday,TRUE,FALSE,
20231211,12/11/2023,2023,December,Q4,Monday,FALSE,FALSE,
20231212,12/12/2023,2023,December,Q4,Tuesday,FALSE,FALSE,
20231213,12/13/2023,2023,December,Q4,Wednesday,FALSE,FALSE,
20231214,12/14/2023,2023,December,Q4,Thursday,FALSE,FALSE,
20231215,12/15/2023,2023,December,Q4,Friday,FALSE,FALSE,
20231216,12/16/2023,2023,December,Q4,Saturday,TRUE,FALSE,
20231217,12/17/2023,2023,December,Q4,Sunday,TRUE,FALSE,
20231218,12/18/2023,2023,December,Q4,Monday,FALSE,FALSE,
20231219,12/19/2023,2023,December,Q4,Tuesday,FALSE,FALSE,
20231220,12/20/2023,2023,December,Q4,Wednesday,FALSE,FALSE,
20231221,12/21/2023,2023,December,Q4,Thursday,FALSE,FALSE,
20231222,12/22/2023,2023,December,Q4,Friday,FALSE,FALSE,
20231223,12/23/2023,2023,December,Q4,Saturday,TRUE,FALSE,
20231224,12/24/2023,2023,December,Q4,Sunday,TRUE,FALSE,
20231225,12/25/2023,2023,December,Q4,Monday,FALSE,FALSE,
20231226,12/26/2023,2023,December,Q4,Tuesday,FALSE,FALSE,
20231227,12/27/2023,2023,December,Q4,Wednesday,FALSE,FALSE,
